Config, run1, run2, run3, run4, run5, M, N, R, operation
O1_matmul, 0.00205002, 0.00216493, 0.00246302, 0.00130568, 0.00773175, 100, 100, 100, 3
O1_matmul, 0.0191865, 0.0192821, 0.0180566, 0.0166131, 0.0232302, 500, 500, 500, 3
O1_matmul, 0.101929, 0.096325, 0.113677, 0.103676, 0.101809, 1000, 1000, 1000, 3
O1_matmul, 0.825001, 0.735944, 0.754916, 0.785788, 0.838209, 2000, 2000, 2000, 3
O1_matmul, 6.16166, 5.91, 6.16795, 5.75733, 6.45955, 4000, 4000, 4000, 3
O2_matmul, 0.00205168, 0.00689764, 0.00561729, 0.00561314, 0.00520951, 100, 100, 100, 3
O2_matmul, 0.0232902, 0.0130863, 0.0154022, 0.0153437, 0.0195687, 500, 500, 500, 3
O2_matmul, 0.0901637, 0.0916854, 0.0880814, 0.0939166, 0.0855756, 1000, 1000, 1000, 3
O2_matmul, 0.680162, 0.736059, 0.932238, 0.762173, 0.67744, 2000, 2000, 2000, 3
O2_matmul, 5.63459, 5.82998, 5.78991, 5.73067, 5.4227, 4000, 4000, 4000, 3
O3_matmul, 0.00178879, 0.0024929, 0.00228255, 0.00210102, 0.00406199, 100, 100, 100, 3
O3_matmul, 0.0149617, 0.0168713, 0.0162573, 0.0169776, 0.0248749, 500, 500, 500, 3
O3_matmul, 0.095003, 0.14455, 0.0847283, 0.0985909, 0.0844484, 1000, 1000, 1000, 3
O3_matmul, 0.676431, 0.651923, 0.647211, 0.648061, 0.657277, 2000, 2000, 2000, 3
O3_matmul, 5.30684, 5.69518, 5.49785, 5.38091, 5.98686, 4000, 4000, 4000, 3
fastmath_matmul, 0.00321156, 0.00322433, 0.00976655, 0.00392083, 0.00682358, 100, 100, 100, 3
fastmath_matmul, 0.079326, 0.0712595, 0.0669252, 0.0687172, 0.0782629, 500, 500, 500, 3
fastmath_matmul, 0.526888, 0.517348, 0.5949, 0.539253, 0.60094, 1000, 1000, 1000, 3
fastmath_matmul, 3.95688, 3.99173, 4.02401, 3.97715, 3.90229, 2000, 2000, 2000, 3
fastmath_matmul, 32.9125, 32.7599
